action,close,confidence,date,position_before,reason,risk,risk_veto_applied,source,target_position,ticker,weighted_score
BUY,446.97573,0.555,2026-02-12,0.6,Trust-weighted agent score=0.000; regime=sideways; risk_level=medium; growth floor applied unless risk is extreme.,当前持仓比例较高（0.6），且价格低于MA5和MA20，短期趋势偏弱；RSI处于中性区间，MACD信号线高于MACD线，但差值较小，动量不明确。建议维持现有仓位，不宜加仓。,False,trust_weight_module,0.8,IVV,0.0
SELL,479.608992,0.677,2026-05-07,0.8,Trust-weighted agent score=-0.306; regime=sideways; risk_level=medium; growth floor applied unless risk is extreme.,当前持仓0.8超过建议上限0.6，MACD信号线高于MACD柱线，短期动能减弱，建议减仓至0.6以下。,False,trust_weight_module,0.6,IVV,-0.305682
BUY,514.690369,0.7678,2025-09-30,0.0,Trust-weighted agent score=0.565; regime=bullish; risk_level=low; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is zero, RSI is moderate, MACD bullish, and all moving averages are trending upward. No immediate risk signals detected.",False,trust_weight_module,0.8,MSFT,0.565261
SELL,474.875214,0.8101,2025-11-25,0.8,Trust-weighted agent score=-0.643; regime=bearish; risk_level=high; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown near -10%, price below all major moving averages, RSI in oversold territory, MACD bearish, and negative returns across all periods. High volatility suggests further downside risk.",False,trust_weight_module,0.0,MSFT,-0.643271
BUY,485.856323,0.555,2025-12-24,0.0,Trust-weighted agent score=0.000; regime=sideways; risk_level=low; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is moderate at -9.56% but price is above short-term MAs and RSI is neutral; volume is low, suggesting limited downside momentum.",False,trust_weight_module,0.4,MSFT,0.0
SELL,468.194977,0.7336,2026-01-26,0.4,Trust-weighted agent score=-0.482; regime=bearish; risk_level=high; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown exceeds 10%, price below both MA20 and MA60, MACD bearish crossover, and 60-day return is deeply negative. High volatility suggests further downside risk.",False,trust_weight_module,0.0,MSFT,-0.481612
BUY,420.149994,0.6974,2026-05-20,0.0,Trust-weighted agent score=0.378; regime=bullish; risk_level=medium; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is -10.85%, approaching moderate risk threshold. RSI is neutral but MACD is slightly bearish (signal line above MACD). Volume is below average, suggesting weak momentum. Consider reducing exposure if drawdown worsens.",False,trust_weight_module,0.8,MSFT,0.378193
BUY,186.559509,0.7628,2025-09-30,0.0,Trust-weighted agent score=0.565; regime=bullish; risk_level=low; asset_profile=high-growth stock/high_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is 0%, volatility is moderate, and RSI is below overbought. No immediate risk signals detected.",False,trust_weight_module,0.6,NVDA,0.565261
SELL,177.800476,0.8001,2025-11-25,0.6,Trust-weighted agent score=-0.643; regime=bearish; risk_level=high; asset_profile=high-growth stock/high_volatility; position bounded by asset-adaptive profile.,"Price below both MA5 and MA20, RSI below 40, MACD negative and below signal line, 20-day return -11.5%, portfolio drawdown -8.57% approaching typical stop-loss threshold.",False,trust_weight_module,0.0,NVDA,-0.643091
BUY,188.599792,0.6972,2025-12-24,0.0,Trust-weighted agent score=0.378; regime=bullish; risk_level=low; asset_profile=high-growth stock/high_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is moderate at -8.57%, but price is above all major moving averages, RSI is neutral, and MACD is improving. Volume is low, suggesting caution, but overall trend is bullish.",False,trust_weight_module,0.6,NVDA,0.377574
SELL,186.459915,0.6732,2026-01-26,0.6,Trust-weighted agent score=-0.295; regime=sideways; risk_level=medium; asset_profile=high-growth stock/high_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is -9.14%, approaching the 10% threshold. RSI is neutral but below 50, and price is near the 20-day and 60-day moving averages, indicating indecision. Volume is below average, suggesting weak momentum. Reduce position from 0.6 to 0.4 to limit further downside.",False,trust_weight_module,0.2,NVDA,-0.294928
BUY,192.839569,0.6724,2026-02-24,0.2,Trust-weighted agent score=0.307; regime=bullish; risk_level=medium; asset_profile=high-growth stock/high_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is moderate at -8.44%, but RSI is elevated (63.3) and volatility is high (20d: 39.4%). Position size should be limited.",False,trust_weight_module,0.6,NVDA,0.306792
SELL,175.199997,0.8006,2026-03-24,0.6,Trust-weighted agent score=-0.645; regime=bearish; risk_level=high; asset_profile=high-growth stock/high_volatility; position bounded by asset-adaptive profile.,"Price below all major moving averages (MA5, MA20, MA60), MACD bearish crossover, RSI below 40, negative short/medium-term returns, elevated volatility, and portfolio drawdown exceeds 10%.",False,trust_weight_module,0.0,NVDA,-0.644531
BUY,223.470001,0.5838,2026-05-20,0.0,Trust-weighted agent score=0.054; regime=bullish; risk_level=medium; asset_profile=high-growth stock/high_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is -13.45%, exceeding typical caution threshold; RSI at 69.8 is near overbought, and 5-day return is negative, suggesting short-term weakness despite strong medium-term uptrend.",False,trust_weight_module,0.6,NVDA,0.053815
BUY,430.705302,0.555,2025-08-29,0.0,Trust-weighted agent score=0.000; regime=sideways; risk_level=medium; asset_profile=ETF benchmark/low_volatility; position bounded by asset-adaptive profile.,"Price below MA5 and MA60, RSI near neutral, MACD bearish but signal line crossed up, moderate volatility.",False,trust_weight_module,0.6,SPY,0.0
BUY,453.272833,0.6705,2025-09-25,0.6,Trust-weighted agent score=-0.287; regime=bullish; risk_level=high; asset_profile=ETF benchmark/low_volatility; position bounded by asset-adaptive profile.,"RSI(14) at 73.38 indicates overbought conditions; price is significantly above all moving averages, suggesting extended rally; volume ratio below 1.0 shows weak volume support; current position of 0.6 exceeds the recommended max position of 0.4.",False,trust_weight_module,0.8,SPY,-0.287094
SELL,437.538603,0.7997,2025-10-23,0.8,Trust-weighted agent score=-0.642; regime=bearish; risk_level=high; asset_profile=ETF benchmark/low_volatility; position bounded by asset-adaptive profile.,"Price below both MA5 and MA20, RSI below 40, negative short-term returns, and MACD below signal line indicate bearish momentum. Portfolio drawdown is -4.34% and current position is 0.8, which exceeds the recommended max position of 0.4.",False,trust_weight_module,0.0,SPY,-0.64207
BUY,448.539961,0.5989,2025-11-20,0.0,Trust-weighted agent score=0.125; regime=sideways; risk_level=low; asset_profile=ETF benchmark/low_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is moderate at -4.34%, but price is above both 20-day and 60-day moving averages, RSI is neutral, and MACD is bullish. Volume is low, suggesting no panic selling. Overall risk is low.",False,trust_weight_module,0.8,SPY,0.125335
SELL,430.32524,0.7443,2025-12-18,0.8,Trust-weighted agent score=-0.484; regime=bearish; risk_level=high; asset_profile=ETF benchmark/low_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown -7.43% exceeds 5% threshold; price below both MA20 and MA60, indicating bearish trend; RSI 43.4 in weak zone; negative MACD and 20-day return -4.06% suggest sustained downside momentum.",False,trust_weight_module,0.0,SPY,-0.483826
BUY,435.906248,0.5899,2026-01-15,0.0,Trust-weighted agent score=-0.100; regime=sideways; risk_level=medium; asset_profile=ETF benchmark/low_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is moderate at -7.43%, RSI near neutral, and price is between MA5 and MA20. Volatility is elevated but not extreme. No immediate alarm.",False,trust_weight_module,0.6,SPY,-0.09966
BUY,446.97573,0.5991,2026-02-12,0.6,Trust-weighted agent score=0.126; regime=sideways; risk_level=low; asset_profile=ETF benchmark/low_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is moderate at -6.01%, but RSI is neutral, MACD is positive, and volatility is low. No immediate alarm.",False,trust_weight_module,0.8,SPY,0.125863
SELL,479.608992,0.6374,2026-05-07,0.8,Trust-weighted agent score=-0.193; regime=bullish; risk_level=medium; asset_profile=ETF benchmark/low_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is moderate at -2.15%, but current position of 0.8 exceeds the recommended max position of 0.6. RSI is neutral, MACD is slightly bearish (signal line above MACD), and 20-day return is negative. Consider reducing exposure to align with risk limits.",False,trust_weight_module,0.6,SPY,-0.19256
BUY,334.089996,0.6383,2025-09-03,0.0,Trust-weighted agent score=-0.295; regime=sideways; risk_level=medium; asset_profile=high-volatility growth stock/very_high_volatility; position bounded by asset-adaptive profile.,当前价格低于MA5和MA20，短期趋势偏弱；RSI处于中性偏弱区域；MACD信号线高于MACD线，但差值较小，动能不足。建议控制仓位，避免追高。,False,trust_weight_module,0.4,TSLA,-0.295
BUY,460.549988,0.6254,2025-10-28,0.4,Trust-weighted agent score=0.201; regime=bullish; risk_level=low; asset_profile=high-volatility growth stock/very_high_volatility; position bounded by asset-adaptive profile.,当前组合回撤为0，价格高于所有均线，RSI处于中性偏强区域，MACD信号线略高于MACD线但差距极小，短期动量温和。波动率较高但未触发极端阈值。建议维持现有仓位，但需警惕高波动环境下的突发反转。,False,trust_weight_module,0.6,TSLA,0.201099
SELL,419.399994,0.79,2025-11-25,0.6,Trust-weighted agent score=-0.643; regime=bearish; risk_level=high; asset_profile=high-volatility growth stock/very_high_volatility; position bounded by asset-adaptive profile.,当前持仓0.6超过建议上限0.4；价格低于MA20和MA60，MACD为负且信号线向下，RSI低于40，显示短期弱势；组合回撤-6.2%接近警戒线，20日波动率55%偏高，建议减仓至0.4以下。,False,trust_weight_module,0.0,TSLA,-0.64291
BUY,485.399994,0.6969,2025-12-24,0.0,Trust-weighted agent score=0.377; regime=bullish; risk_level=medium; asset_profile=high-volatility growth stock/very_high_volatility; position bounded by asset-adaptive profile.,当前持仓为0，组合回撤-6.2%处于中等水平，RSI 62.15未超买，但20日波动率35.25%较高，且成交量比仅0.55显示缩量，需警惕流动性风险。,False,trust_weight_module,0.6,TSLA,0.376901
SELL,435.200012,0.8001,2026-01-26,0.6,Trust-weighted agent score=-0.643; regime=bearish; risk_level=high; asset_profile=high-volatility growth stock/very_high_volatility; position bounded by asset-adaptive profile.,当前持仓0.6超过建议上限0.4；价格低于所有均线（MA5/20/60），MACD负值且信号线向下，RSI低于50，20日跌幅超10%，组合回撤-12.02%接近60日最大回撤-11.16%，成交量萎缩，趋势偏空，风险较高。,False,trust_weight_module,0.0,TSLA,-0.643106
BUY,387.51001,0.6928,2026-04-22,0.0,Trust-weighted agent score=-0.365; regime=sideways; risk_level=high; asset_profile=high-volatility growth stock/very_high_volatility; position bounded by asset-adaptive profile.,组合回撤-12.02%超过10%阈值，60日收益率-10.96%且60日最大回撤-10.19%，波动率偏高（20日48.61%），当前无持仓，建议仅允许极低仓位。,False,trust_weight_module,0.2,TSLA,-0.365146
BUY,417.26001,0.565,2026-05-20,0.2,Trust-weighted agent score=0.000; regime=sideways; risk_level=medium; asset_profile=high-volatility growth stock/very_high_volatility; position bounded by asset-adaptive profile.,当前组合回撤-10.62%，接近中等风险阈值；RSI 62处于中性偏强区域，但MACD信号线略高于MACD，短期动能减弱；5日均线低于收盘价，存在短期压力。建议控制仓位不超过40%。,False,trust_weight_module,0.4,TSLA,0.0
BUY,430.705302,0.5988,2025-08-29,0.0,Trust-weighted agent score=0.125; regime=sideways; risk_level=low; growth floor applied unless risk is extreme.,当前组合回撤为0，价格位于MA20之上，MACD信号线向上，RSI中性，波动率适中，整体风险较低。,False,trust_weight_module,0.6,VOO,0.125
BUY,453.272833,0.5695,2025-09-25,0.6,Trust-weighted agent score=0.013; regime=bullish; risk_level=high; growth floor applied unless risk is extreme.,RSI14为73.38，接近超买区域，且当前仓位0.6超过建议上限0.4，存在回调风险。,False,trust_weight_module,0.8,VOO,0.012835
SELL,437.538603,0.8322,2025-10-23,0.8,Trust-weighted agent score=-0.706; regime=bearish; risk_level=high; growth floor applied unless risk is extreme.,当前持仓0.8远超建议上限0.4；价格低于MA5和MA20，短期与中期均线空头排列；RSI=35.28接近超卖但未确认反转；MACD负值且低于信号线，动量偏空；近5日与20日回报均为负，回撤-4.34%接近60日最大回撤-5.4%；成交量萎缩至0.62，缺乏反弹动能。建议立即减仓至40%以下，并设置严格止损。,False,trust_weight_module,0.0,VOO,-0.7063
BUY,448.539961,0.5991,2025-11-20,0.0,Trust-weighted agent score=0.126; regime=sideways; risk_level=low; growth floor applied unless risk is extreme.,当前组合回撤-4.34%，但价格高于MA20和MA60，MACD为正且金叉，RSI中性，波动率稳定，整体风险较低。,False,trust_weight_module,0.8,VOO,0.126013
SELL,430.32524,0.7443,2025-12-18,0.8,Trust-weighted agent score=-0.484; regime=bearish; risk_level=high; growth floor applied unless risk is extreme.,当前持仓0.8远超建议上限0.4；价格低于MA20和MA60，MACD为负且低于信号线，RSI低于50，20日收益为负，组合回撤-7.43%接近60日最大回撤-6.96%，波动率较高，存在进一步下行风险。,False,trust_weight_module,0.0,VOO,-0.483712
BUY,435.906248,0.555,2026-01-15,0.0,Trust-weighted agent score=0.000; regime=sideways; risk_level=low; growth floor applied unless risk is extreme.,当前组合回撤-7.43%接近阈值，但技术指标显示短期均线多头排列、MACD金叉信号，波动率处于中等偏低水平，整体风险可控。,False,trust_weight_module,0.6,VOO,0.0
BUY,446.97573,0.555,2026-02-12,0.6,Trust-weighted agent score=0.000; regime=sideways; risk_level=medium; growth floor applied unless risk is extreme.,当前持仓比例较高，且价格低于MA5和MA20，短期趋势偏弱，建议控制仓位。,False,trust_weight_module,0.8,VOO,0.0
SELL,479.608992,0.6814,2026-05-07,0.8,Trust-weighted agent score=-0.304; regime=sideways; risk_level=medium; growth floor applied unless risk is extreme.,当前仓位0.8高于建议上限0.6，且组合回撤-2.15%接近中等风险阈值，MACD信号线高于MACD值，短期动能减弱，建议减仓至0.6以下。,False,trust_weight_module,0.6,VOO,-0.30387
